ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_0_REP_2	TP_3_REP_1	TP_3_REP_2	TP_6_REP_1	TP_6_REP_2	TP_9_REP_1	TP_9_REP_2	TP_12_REP_1	TP_12_REP_2	TP_15_REP_1	TP_15_REP_2	TP_18_REP_1	TP_18_REP_2	TP_21_REP_1	TP_21_REP_2	TP_24_REP_1	TP_24_REP_2	TP_27_REP_1	TP_27_REP_2	TP_30_REP_1	TP_30_REP_2	TP_33_REP_1	TP_33_REP_2	TP_36_REP_1	TP_36_REP_2	TP_39_REP_1	TP_39_REP_2	TP_42_REP_1	TP_42_REP_2	TP_45_REP_1	TP_45_REP_2
sub_660	0.0035164899999999997	0.011166257539863325	26.436867	16.409476296549297	0.12155640010720475	-0.1341498317808832	0.64700556	0.49223136876019685	-0.5011001802	-0.4068660879	-0.4987658058	-0.2926045903	-0.4372164707	-0.2900022188	-0.4709059197	-0.1527581218	-0.2423436235	-0.1296291669	-0.1022307449	-0.0878473978	-0.123034843	-0.0185874093	-0.0918541091	-0.0763999268	-0.2058744042	-0.1064416908	-0.2663195369	-0.0440690424	-0.2052028962	-0.0589922502	-0.2821081653	-0.0938584209	-0.1224674535	-0.0985928045	0.0390070508	-0.0508780933	0.0861755247	-0.1030949967	0.1009573813	-0.0902091583
sub_661	0.17312500171158562	0.22325277741531024	21.68736	5.867806135831494	0.14210488665467408	-0.12455989838826709	0.003534062	0.12601175809457346	0.1743180643	0.1500276519	0.1116398558	0.1566701258	0.1147898286	0.1231199145	0.0098545839	0.0586878795	-0.0010644288	-0.000733495299999998	0.0032182448	-0.0103998162	-0.1646798397	-0.1511854941	-0.0918554436	-0.1494239898	-0.0789396105	-0.123352304	-0.1081853478	-0.1212939802	-0.1844088858	-0.1618556586	-0.1610788356	-0.3691602937	-0.3484184166	-0.4279187461	-0.3745699673	-0.3933235744	-0.3222608611	-0.4406514435	-0.3479653745	-0.3771826392
sub_662	0.04726232313976278	0.07495299028080696	22.139198	4.228275415259506	0.4032618260241415	-0.04285180333730014	0.017657807	0.2471452592871732	1.4969951709	1.2769431377	1.3659753126	1.0355355261	1.0315214869	1.1045197465	0.735289042	0.4076676502	0.3905269117	0.00958004460000001	0.0754512418	0.0650426068	0.1447371356	-0.3680599107	-0.0335481564	0.0753727254	0.1328441721	0.0940250016	-0.083475484	0.0307723258	-0.6594702278	0.0832001841	-0.6880423923	-0.3782590888	-0.6304934616	-0.2848230046	-0.686384922	-0.8115814025	-0.8617188536	-0.4019536995	-0.7789356077	0.1249594576
sub_663	0.005485512653795573	0.01511226213318385	24.08102	3.4493520818074916	0.1651258035484206	-0.11638033297916645	0.15665607	0.18050401026576393	0.3342319806	0.3059163254	0.287110683	0.2403703482	0.154821529	0.0960938786	0.1595667076	0.0819227659	-0.0918556199	-0.0624387214	-0.0788339973	-0.0529397647	-0.1848768669	-0.1165483354	-0.1656103861	-0.0757121942	0.0077668541	-0.0760186329	-0.1266114382	-0.0739275671	-0.1782480879	-0.0927471789	-0.0966749478	-0.1690221787	-0.3127023624	-0.2603517599	-0.3698211949	-0.305426969	-0.3835300782	-0.2080783519	-0.2989846207	-0.2259048687
sub_664	0.10186589321621285	0.14101395744131154	25.20602	1.6046650940835714	0.13584052284820802	0.06144041872770746	0.0068916674	0.5506226857046117	0.3560487026	0.27264407845	0.2701784024	0.1168838098	0.1662610605	0.09138494395	0.16368631245	-0.24033819475	0.07540140755	0.0028827854	-0.08238301785	0.142841742	0.00579536700000001	-0.17588666285	-0.1234481466	0.02366068375	-0.08313502565	0.0257067252	0.3788848128	0.02506952595	-0.05011717455	0.0414209549	-0.02530689435	0.15652312315	-0.3992101557	-0.10055820535	-0.0685351957	-0.07956023365	-0.1770607579	-0.15336307605	0.1204532072	0.21246227985
sub_665	0.21123216	0.2634935433452594	22.777536	7.612830767379732	0.2144746982414788	0.046291000043818066	0.9947626	0.7315836909438972	0.1247280672	-0.2971767527	0.0535339841	0.2136107528	0.558431998	0.2914973162	0.4935190812	0.5510569331	0.1184205917	-0.1614932797	0.045274746	0.0445279172	0.16350766	-0.2654497015	-0.5878933256	0.2590321329	-0.2395256159	-0.1355434747	1.1035263986	0.1278483543	0.1998684348	0.1277687899	-0.1428515361	0.4983426795	0.1621983344	-0.2830734856	0.0629743783	-0.0896284473	-0.3194427269	0.0896039936	-0.324453746	0.0398485412
sub_666	0.01782214609439895	0.03642825755951926	27.435741	25.325896417637363	0.05575993959853663	-0.12466362532050707	0.05389694	0.4494435737341163	-0.1117385749	-0.2010964129	-0.1746771354	-0.1538339142	-0.1485843605	-0.2458351471	-0.1049811071	-0.3252841614	-0.2230209543	-0.2022567982	-0.1122651845	-0.1786933086	-0.2979601285	-0.1436915601	-0.1108197674	-0.1103156596	-0.0234235601	-0.0061266284	-0.0551011039	-0.0578692369	-0.0697967784	-0.0737382412	-0.0544660426	-0.1056510458	-0.1923868834	-0.1812018193	-0.1864504782	-0.112886479	-0.1312338776	-0.1400746715	-0.1201504431	-0.1043683538
sub_667	0.09921853650942142	0.13789694904699248	24.470432	16.35727908022017	0.31916088749376903	0.3470372032294341	0.007146669	0.5419350935408654	-0.7130235431	-0.2066820957	-0.3524471842	0.426622764	-0.5509180822	0.208249874	-0.6149180885	0.2989728093	0.1737900205	0.1599647597	0.1140099725	0.0040822653	0.7699422065	0.514395118	0.4932481747	0.2022003966	-0.2487262661	-0.0501510205	0.5682723296	0.0835296268	0.2528959684	-0.1324466009	-0.00518924819999999	0.7858412238	0.5879207023	0.7432830299	0.8207854367	0.6113985534	0.6739044598	0.7038869948	1.0485500757	0.5186825045
sub_668	0.58844241	0.6494764208551069	22.793335	15.961756485763074	0.03643718287090332	0.07614084816003552	0.5602474	0.9111386891310146	0.062952979	0.0416175707	0.2455442027	-0.0078012505	0.0426496461	0.0368136878	0.127834046	0.0486041919	0.0578167065	0.1189429687	0.0851200627	0.1190888641	0.2768325111	0.0896639671	0.0639699384	0.1165278864	0.0848306898	0.0239478352	0.1010852661	0.0086601593	0.0811584288	-0.0146277196	0.0830249883	0.0802148359	0.1765687253	0.1086683545	0.1160835099	0.0889739421	0.1205769668	0.0770083597	0.071737687	0.0448958955
sub_669	0.008816031389421164	0.02119170817241379	26.076748	2.4901459962821804	0.18196770011041913	0.1796192803474253	0.107051045	0.478889350626469	0.1475097505	0.375439274333333	0.647809330333333	0.525799005666667	0.275222443166667	0.346336178	0.17877451	0.402601181833333	-0.0653554365	0.0496410941666667	0.006717412	0.211617113666667	0.580594895166667	0.2660346475	0.0646362371666667	0.182746567833333	0.39269182	-0.0744031136666667	0.284140421333333	0.0994318941666667	0.474430935166667	0.4219617425	0.239931919	0.386275827333333	-0.0880311605	-0.0271861921666667	-0.0570393526666667	-0.0286423106666667	0.0593860106666667	-0.00525919583333334	0.213419075166667	-0.251489189166667
