ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_1_REP_1	TP_4_REP_1	TP_7_REP_1	TP_10_REP_1	TP_13_REP_1	TP_16_REP_1	TP_19_REP_1	TP_22_REP_1
sub_1	0.009251397438618835	0.32961862308073303	25.8531	16.047129661205542	0.31767565150500854	11.67602483138123	0.895968	0.0	11.42738484	11.40043537	11.34734627	11.54597559	11.75554013	11.89321161	11.9215899	11.91534717	11.83718341
sub_2	0.00507677067855374	0.32961862308073303	25.42239	14.970566415381974	0.19161979544793556	11.402978727718223	0.9263111	0.0	11.241442585	11.219491315	11.219605945	11.37362436	11.467299075	11.55934967	11.592488085	11.49915975	11.47190462
sub_3	0.0018042878369772873	0.27154531946508176	25.991121	18.61476943563447	0.4005678744607374	7.480899776804894	0.9505827	0.0	7.396945367	7.211065759	7.158120508	7.102441236	7.275118851	7.570002085	7.802918982	7.872567732	7.883773181
sub_4	0.00028302554305526076	0.08519068845963348	24.87973	18.610740625785244	0.14284425987974836	8.91944369225608	0.9715469	0.0	8.943540434	8.871100839	8.823428676	8.773019617	8.838342661	8.954855366	9.015515003	9.092220837	9.006435391
sub_5	0.010241986839312248	0.32961862308073303	26.314032	16.7520328078715	0.35753241657595747	10.040147405191453	0.89050454	0.0	9.796704279	9.728265855	9.684285331	9.887839555	10.04777753	10.1746724	10.38659822	10.35300177	10.24970984
sub_6	0.6531698860822189	0.7475442422461898	26.395632	2.5205971652626316	0.09197806785084375	8.037211569526715	0.012783355	0.0	8.3124920805	8.085888621	8.18176447133333	7.99966303016667	8.05001844883333	7.96382752983333	7.9952460555	7.94170454066667	7.931120505
sub_7	0.24423335456024906	0.4197609126343217	24.438284	5.445263161235844	0.03873811600186048	14.257913654097544	0.1645241	0.0	14.19246424	14.37623589	14.29356384	14.24703473	14.28770809	14.24599971	14.2370784	14.22143708	14.21027476
sub_8	0.08062690157786741	0.32961862308073303	23.816519	15.162066766584136	0.021024536470278538	12.939633325440921	0.5646531	0.0	12.94987968	12.71749983	12.93271711	12.88387828	12.94366991	12.94639249	12.96014624	12.96383437	12.96952102
sub_9	0.12525649189839383	0.33975543150877474	25.761198	4.510024209508107	0.356097591458189	8.971333763646724	0.41954944	0.0	8.909520731	9.586117056	9.493813108	9.209917901	9.055778719	8.749778124	8.779086492	8.642319289	8.622482169
sub_10	0.27947003467062903	0.4399577709674756	26.97188	18.02937368388668	0.3783503081714829	6.067623419785984	0.12580384	0.0	5.718567744	5.778089416	5.91206202	5.619268518	5.95593188	6.271367139	6.137544947	6.45849868	6.487286339
