ID	ZT0_REP1	ZT4_REP1	ZT8_REP1	ZT12_REP1	ZT16_REP1	ZT20_REP1	ZT24_REP1	ZT28_REP1	ZT32_REP1	ZT36_REP1	ZT40_REP1	ZT44_REP1	ZT48_REP1
sub_619	7242.28	6114.81	5758.23	5879.57	6789.76	7163.6	6476.59	5839.13	5127.43	5783.17	6229.45	6870.36	6110.61
sub_620	6435.92	5538.66	4999.47	5572.7	6136.19	6239.6	5720.83	5241.74	4282.14	5277.1	5640.05	6107.47	5354.06
sub_621	1825.01	1939.76	1881.04	1948.92	1798.95	1599.62	1903.76	2015.39	2019.42	2017.25	1779.68	1785.66	1760.71
sub_622	481.677	589.054	555.057	553.37	523.537	510.07	604.411	567.101	628.902	575.886	600.452	586.254	517.083
sub_623	695.796	799.145	710.472	721.366	733.509	659.811	842.415	776.729	742.665	762.89	706.602	778.216	792.399
sub_624	404.299	345.018	295.988	243.775	255.776	356.618	326.402	377.058	333.731	275.485	243.256	273.595	306.233
sub_625	504.54	336.624	566.609	429.644	363.528	338.381	396.01	396.112	373.874	488.368	319.874	270.047	361.529
sub_626	132.361	141.729	153.743	119.866	124.182	131.936	129.216	120.09	121.919	116.819	120.727	131.202	136.06
sub_627	727.503	901.547	952.744	762.364	728.04	676.983	777.672	870.636	931.676	819.489	788.275	649.105	684.518
sub_628	743.352	586.565	557.351	579.399	636.043	718.429	647.101	597.511	538.237	514.788	608.198	603.229	672.938
sub_629	1216.29	1155.71	672.597	1303.2	1567.13	1389.64	1759.94	982.355	715.069	1070.15	1784.68	1360.43	1943.95
sub_630	720.917	938.776	1266.5	1182.69	1037.95	996.548	1030.78	932.875	1224.33	1224.43	1255.71	1001.88	918.457
sub_631	1196.64	1282.18	1157.54	988.46	986.105	1316.38	1286.11	1269.2	1287.47	1104.69	1123.88	957.66	1308.78
sub_632	521.508	642.51	592.448	598.915	389.375	511.228	547.888	609.835	574.47	561.264	424.231	371.435	498.404
sub_633	682.784	839.089	854.662	623.806	526.84	655.622	715.063	885.82	957.444	760.166	691.005	589.482	685.22
sub_634	992.861	876.658	833.399	792.634	834.724	980.95	957.167	911.861	828.03	841.649	927.666	807.542	893.011
sub_635	821.923	653.982	531.612	563.767	913.766	1188.68	905.556	726.832	610.951	544.014	643.394	953.102	900.442
sub_636	335.994	370.822	370.888	303.568	320.356	289.222	328.753	354.744	356.166	315.057	336.314	307.405	336.483
sub_637	637.723	778.554	711.304	703.292	742.424	633.698	784.036	746.536	741.791	667.646	576.105	769.002	720.124
sub_638	1126.2	783.134	1181.36	2088.33	1127.48	1241.14	815.258	832.215	1221.89	1793.49	1412.21	1047.52	814.776
sub_639	805.783	946.453	796.47	789.163	826.092	825.034	970.522	853.109	743.219	800.187	865.375	755.257	927.482
sub_640	1877.83	1828.86	1717.63	1504.05	1659.66	1610.72	1660.75	1825.57	1773.96	1672.02	1517.78	1662.96	1671.56
sub_641	262.724	275.014	325.832	280.19	269.739	249.423	269.512	272.803	304.828	290.842	229.392	231.083	240.091
sub_642	468.331	515.19	488.688	465.427	468.386	462.063	502.869	524.28	479.192	455.62	413.783	421.784	467.665
sub_643	100.082	111.864	130.962	125.584	114.566	101.803	107.178	115.727	138.232	115.588	132.402	143.123	116.884
sub_644	1061.29	1068.15	958.66	990.709	1031.5	1138.15	1206.82	1054.22	998.525	1058.85	1194.62	1020.91	1111.52
sub_645	1080.41	1497.27	1748.27	1928.08	1309.32	1410.56	1336.85	1845.73	2233.3	2173.15	1586.81	1436.65	1241.8
sub_646	2458.62	2114.88	2068.76	1883.94	1997.05	2093.58	2138.77	2193.89	1711.95	2019.32	1836.93	1727.44	1961.53
sub_647	2301.82	2785.53	2534.27	2287.98	2407.02	2497.23	2799.3	2609.7	2633.12	2437.2	2494.04	2512.95	2635.74
sub_648	335.516	304.576	324.868	365.955	381.175	391.36	374.486	315.287	366.146	347.706	343.64	357.37	309.692
sub_649	223.408	226.626	260.775	231.93	224.705	199.023	192.262	220.485	260.842	234.227	222.408	187.457	208.188
sub_650	285.42	277.799	282.312	243.404	276.444	266.194	289.63	265.878	280.287	255.894	295.656	269.315	278.455
sub_651	621.112	992.666	2313.32	3186.18	638.911	790.87	354.645	1059.17	2819.7	3530.49	1086.76	675.354	456.243
sub_652	817.873	1570.59	1167.09	844.998	1105.73	1082.11	1705.49	1373.12	1179.22	1036.64	1071.88	1016.63	1645.08
sub_653	1016.91	883.187	830.183	886.56	811.958	1081.48	838.86	881.875	908.926	804.698	740.207	842.61	856.79
sub_654	736.62	1089.47	944.746	965.983	861.706	727.904	1147.57	1046.12	945.889	962.093	977.849	890.149	1041.61
sub_655	753.026	732.294	706.179	655.102	672.839	707.568	767.118	718.194	739.99	657.407	636.091	656.473	698.867
sub_656	1466.75	1316.5	1281.95	920.745	979.701	1049.56	1262.11	1405.81	1044.43	1131.39	1110.01	892.015	1284.73
sub_657	279.957	315.341	332.393	357.602	259.472	258.855	343.891	319.042	351.927	342.3	286.737	265.358	286.565
sub_658	794.864	613.322	571.807	615.826	650.168	793.932	712.669	634.367	611.943	643.994	655.2	653.976	717.899
sub_659	2996.39	2519.25	2733.86	2010.86	2827.55	2914.75	3021.56	2566.38	2050.87	2153.85	2365.05	2483.04	2926.07
sub_660	315.516	341.599	344.207	301.386	292.043	301.604	344.067	376.444	394.25	314.372	302.252	313.59	306.399
sub_661	461.492	396.464	325.228	337.74	492.974	437.614	466.439	398.319	332.046	352.873	458.26	441.741	462.513
sub_662	206.543	214.472	287.508	208.607	258.481	230.445	212.329	220.455	256.755	220.039	243.926	231.696	222.543
sub_663	928.207	1043.1	931.45	822.541	913.115	865.136	1027.26	961.155	1118.57	901.414	797.881	913.575	786.49
sub_664	82.2993	98.922	122.532	121.823	124.813	100.839	99.5265	81.8976	112.897	94.2967	110.692	116.086	101.446
sub_665	6873.68	7708.64	7740.79	6998.08	7387.28	6745.43	7267.59	7459.91	7833.34	6944.93	6559.3	6560.89	7190.01
sub_666	114.831	126.6	162.265	183.733	143.971	112.127	136.436	156.888	173.786	139.052	134.113	121.765	134.24
sub_667	166.359	160.483	210.853	219.201	194.149	140.338	181.921	154.178	172.145	154.932	169.245	241.408	184.102
sub_668	176.806	220.779	271.141	207.46	228.642	199.233	267.615	278.634	276.565	218.001	194.296	191.423	187.43
sub_669	301.071	395.996	358.71	270.514	288.659	211.72	295.283	332.925	344.783	290.818	221.457	279.126	313.651
sub_670	243.286	249.236	257.986	269.922	207.669	215.445	227.501	250.614	250.624	242.92	218.798	176.904	216.185
sub_671	577.69	689.581	606.663	686.432	651.899	561.276	624.031	559.546	585.393	522.07	567.812	618.176	663.28
sub_672	1257.18	1226.94	1089.06	1120.71	1163.95	1343.51	1281.33	1123.63	1207.34	1073.57	991.799	1057.51	1203.98
sub_673	2448.84	2964.52	2755.16	2526.39	2672.18	2761.03	3157.71	2875.18	2840.58	2597.54	3003.79	2926.39	2885.69
sub_674	754.94	696.951	683.675	692.299	761.307	786.003	771.069	713.923	679.089	737.368	709.294	767.419	759.882
sub_675	490.142	476.448	403.967	402.536	476.271	599.326	565.45	471.599	456.516	401.649	425.345	479.618	498.547
sub_676	2503.85	1769.01	1533.23	1765.43	2010.98	2299.98	2129.83	1883.81	1804.91	1755.42	1961.98	2074.82	1897.92
sub_677	1040.97	940.127	844.541	888.854	997.926	1149.63	1059.23	1007.86	887.007	861.492	901.304	934.949	997.257
sub_678	1619.49	1519.51	1429.43	1425.62	1408.96	1449.46	1520.93	1465.13	1392.78	1403.61	1403.18	1485.72	1501.2
sub_679	288.852	207.231	280.686	225.652	215.344	177.012	196.532	207.057	221.254	226.836	190.315	164.628	195.121
sub_680	385.235	403.354	406.393	419.668	406.097	404.888	441.479	416.73	407.086	456.958	465.325	415.956	445.584
sub_681	1370.15	1773.9	1915.97	2161.77	1605.12	1356.67	1669.17	1811.53	1930.67	1977.33	1746.84	1358.53	1590.8
sub_682	1070.6	810.299	808.969	799.048	914.317	1277.1	1011.46	820.976	800.859	756.015	891.161	906.342	938.18
sub_683	922.618	921.928	891.681	1014.65	1114.32	1049.69	1063.8	959.845	848.033	985.979	1082.4	1094.56	906.454
sub_684	1214.15	1338.45	1059.47	1013.84	1217.93	1400.11	1431.21	1187.13	1203.21	1027.42	1053.29	1127.86	1425.37
sub_685	711.063	763.247	972.91	856.65	753.723	704.898	852.637	815.383	852.719	913.945	789.232	697.434	700.609
sub_686	225.285	289.716	244.155	188.575	218.735	204.14	305.885	257.471	228.313	193.087	211.948	219.089	283.681
sub_687	2661.37	2824.87	2971.18	2228.42	3469.09	3718.28	3013.98	3235.85	3149.19	2113.23	3304.53	3507.8	2962.62
sub_688	2252.86	2506.09	2611.73	2391.12	2254.46	2047.11	2160.28	2546.01	2524.86	2713.52	2295.91	2070.25	2097.33
