ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_6_REP_1	TP_12_REP_1	TP_18_REP_1	TP_24_REP_1	TP_30_REP_1	TP_36_REP_1	TP_42_REP_1
sub_369	0.0673423901507111	0.08340571257198162	25.06149	17.151237451062766	83.03852140491	403.6345529970513	0.80663383	0.0	369.169936268645	320.932736904083	440.005081098922	695.612027812752	382.408665919666	368.015265737891	405.913380192004	461.871750195839
sub_370	0.014505059081582113	0.02551378470376007	24.396378	17.860898780712123	161.7179427415004	2152.002208453797	0.9483159	0.0	2028.93395867971	1989.55454692852	2066.6488652865	2285.58237709904	2165.70774465838	2008.44932608587	2146.75528268909	2341.4993109155
sub_371	0.07749593150781858	0.09339132990531661	23.429659	6.339208246348707	10.020821803374819	34.93730096756387	0.77962357	0.0	37.5172699460005	37.6896096720098	37.1254287177216	23.257545002858	33.1420843797044	58.9305490887472	30.5708821901928	28.5693866100519
sub_372	0.04707068562937805	0.06260633064005948	23.979843	11.831182767754305	243.83221564783094	2011.6858982016965	0.85997885	0.0	1766.3130690577	1908.46478066449	2150.52483387098	1891.26127318695	1807.51829424695	2058.9612253048	2595.12822147859	2001.04745381239
sub_373	0.007057949479940565	0.01642798585848235	21.446018	2.3892678664342344	26.216777411664374	39.62117949380949	0.97339666	0.0	54.0248687222407	52.5370316640136	20.625238176512	35.9434786407805	82.855210949261	33.6745994792841	6.7935293755984	47.6156443500865
sub_374	0.006668789358239581	0.015829214300876367	24.23413	11.956643325196655	108.48576949688521	541.7006779701193	0.97511476	0.0	433.699640575765	520.801879104135	754.883717260339	510.608828926382	470.362659081189	537.590927401428	638.591761306249	549.960692243499
sub_375	0.020607797353711172	0.03239653732461145	22.292007	2.128729905910946	79.83498951666492	626.963524120237	0.9283103	0.0	682.814313017209	673.844536560174	583.006732456072	622.667909394698	717.653596375907	603.737462092879	519.704997233277	599.95711881109
sub_376	0.01706997806552041	0.0283784034173709	22.455023	17.511756600992193	126.97050790501592	1233.1449834938508	0.93850005	0.0	1176.54158550657	1123.83563385629	1171.51352842588	1384.88108880654	1176.54399547951	1119.6804326862	1317.94469886609	1334.42843291117
sub_377	0.15718531097431543	0.17447084876902433	22.23689	3.893022197543826	26.26905727221746	70.49182791589217	0.5335157	0.0	75.0345398920009	93.6529694880242	52.250603380497	67.6583127355868	77.7564287369988	86.5918272324448	32.2692645340924	65.471510981369
sub_378	0.008225429845043515	0.018203820148866796	23.392744	10.05229129586908	3952.8718752609952	5083.789028266841	0.96964484	0.0	2816.79662754572	6266.75419000962	9908.36441999636	2074.15014980033	2572.33562608629	6229.80090366756	8792.52539436823	1291.5743529961
sub_379	0.17710323356682942	0.1949760369543076	24.540237	18.356790428251028	8.8751108833514	24.774456315000755	0.48294178	0.0	22.5103619676003	10.2789844560027	20.625238176512	37.000639777274	28.0433021674422	20.4452925409939	27.1741175023936	28.5693866100519
sub_380	0.029416967381306162	0.04213570924643323	23.248638	12.950474887759167	13.881984731990539	45.412220718516984	0.9044284	0.0	27.0124343611203	38.8317190560101	49.5005716236288	46.5150900057159	35.6914754858355	45.701242150457	62.8401467242852	48.8060354588387
sub_381	0.012417745701549564	0.023396940047252644	22.052528	15.09200626813291	3909.7382122105255	15691.064027624201	0.9555476	0.0	14370.615080116	12162.3228302191	18377.0872152722	17219.0405912068	14063.7160369723	12567.8415913757	19704.6319539232	15863.1519152313
sub_382	0.010436566900162739	0.020908511993207386	25.243675	17.275919488365318	9.786265768403773	45.902347307555345	0.9624211	0.0	42.0193423395205	36.5475002880095	48.1255557451946	68.7154738720804	45.8890399103599	36.0799280135187	45.8563232852892	54.7579910025995
sub_383	0.010790348828981815	0.02142201605753743	22.423565	12.133992070853688	429.7325844637502	2012.8369179511965	0.9610614	0.0	1671.76954879378	1897.04368682449	2640.03048659353	2033.97802661358	1363.92424178014	2022.88129729128	2190.91322363048	1855.81973854462
sub_384	0.0004952947003467063	0.006010317712072391	23.486023	19.43716655887686	18482.278391956756	69072.90834147559	0.9969023	0.0	71104.2306924579	53519.2457342539	57768.5421006532	82368.7099498945	76521.2487460782	52190.8185358219	63254.5520161967	89347.1854496111
sub_385	0.004722988749734663	0.013616840621993793	22.519056	5.734430603396951	750.6539199098064	1950.1652874912616	0.98246264	0.0	1982.41254394666	2704.5150213127	1904.39699163127	1223.13543492303	2314.84712436705	2333.16867820754	1385.87999262207	1282.05122412608
sub_386	0.0018396660298591948	0.00959572902824343	23.529037	10.859811599258464	31.42089625341152	195.96935092941533	0.99253535	0.0	153.070461379682	206.721798504054	221.377556427895	185.00319888637	166.985117451587	216.479568081112	224.186469394747	190.462577400346
sub_387	0.0052182834500813695	0.014376903382877242	22.943802	22.640040791527717	53.5826439321236	241.5523141063768	0.9807341	0.0	288.132633185284	243.269298792063	199.377302372949	279.090540034296	298.278759417339	211.668911012643	149.457646263165	260.695652816724
sub_388	0.0712870586570438	0.08745441092176616	24.983225	17.495296421863994	204.45599627124506	1005.5133303919077	0.7967382	0.0	873.402044342891	712.676255616184	1006.51162301378	1264.36471924628	1036.32748464229	844.270315516337	1030.91808274706	1111.82529557452
sub_389	0.0004422274110238449	0.006010317712072391	22.245876	13.808110596175055	4707.834640734392	7801.677753656853	0.9972908	0.0	4291.97568182245	4497.62675419316	11691.7600143254	9669.85291550645	4342.88774929434	6852.78099403432	13259.2709588242	8161.32144160483
sub_390	0.044523455741880706	0.059807627115959154	23.597355	6.384580646589969	140.5548415519553	1185.136785595702	0.8666977	0.0	1104.50842721025	1628.64798158442	1171.51352842588	1062.44694217601	1180.3680821387	1326.53868663037	1193.96278776142	1043.97300237565
sub_391	8.844548220476898e-05	0.002729174879461443	21.544773	0.3428957136945834	47.03543230983346	117.24251753701645	0.9987154	0.0	168.077369358082	114.21093840003	75.6258733138773	130.030819788706	159.336944133194	82.983834431093	81.5223525071808	149.989279702773
sub_392	0.01942262789216727	0.03112231175599503	24.992636	4.773241820202972	33.5910480551017	154.6952219662532	0.9320015	0.0	168.077369358082	191.87437651205	147.126698992452	133.202303198187	140.216510837211	187.615625670297	139.267352199767	116.658328657712
