ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3
sub_1202	25.9249	23.5116	26.376	22.7581	29.7475	28.0778	20.8017	26.1286	26.1066	30.7715	23.0715	32.4657	22.6804	25.3359	18.7018	30.7221	27.7854	25.3819
sub_1203	165.911	154.843	144.595	178.333	165.071	174.796	173.285	187.988	155.433	147.354	174.381	222.39	138.368	176.249	158.488	200.934	176.935	230.216
sub_1204	57.2941	47.7969	41.3561	53.0039	59.3762	61.8427	55.6886	52.4161	44.992	52.0716	58.0454	55.3571	47.6227	59.649	49.6376	55.63	58.1995	63.5365
sub_1205	1552.08	1944.4	1620.86	1881.77	1773.38	2099.84	1609.6	2120.27	1859.72	1828.84	1986.84	1823.63	1979.82	1917.64	1698.39	1907.82	2153.89	1996.22
sub_1206	279.453	212.39	204.22	249.296	212.64	242.22	221.922	236.854	243.093	241.198	260.988	263.116	179.132	251.099	229.579	245.611	254.132	267.177
sub_1207	68.9067	82.9991	73.8189	67.3171	42.4886	100.92	70.9401	96.4483	79.2303	57.8863	67.2419	70.3077	90.925	64.6053	77.6889	88.4299	68.1825	80.8263
sub_1208	27.5582	27.7225	40.4332	25.0969	21.3523	23.09	26.1846	26.1292	38.7827	28.9113	28.3987	23.2953	27.4028	25.8266	30.8449	19.3503	22.2416	33.9913
sub_1209	50.9012	44.779	45.2155	50.8036	50.2066	49.6029	54.6277	50.7581	45.477	40.6545	56.8202	53.3813	47.1643	55	45.1537	50.0047	52.5206	56.9876
sub_1210	59.194	46.2788	61.1864	52.5891	58.9634	54.5067	55.5322	55.4983	40.0049	56.3293	45.8847	54.3571	46.6019	62.3304	58.1156	50.5118	40.1239	59.8108
sub_1211	17.3663	15.64	14.3022	28.4526	5.46276	10.7666	27.03	16.9997	11.6907	14.1078	8.48586	13.7634	19.6203	17.6086	13.9106	15.9945	14.8663	12.8892
sub_1212	0.353234	1.14234	0.225079	1.59641	0.944769	0.827669	1.27816	0.785762	0.378707	0.701162	0.249091	0.625426	0.917872	0.721892	0.731946	1.81449	0.487404	0.621119
sub_1213	201.745	189.058	185.973	180.402	184.908	141.648	160.299	174.959	267.919	198.251	181.447	157.405	193.884	170.564	169.322	168.739	177.877	225.606
sub_1214	40.3144666666667	28.611	37.0663333333333	33.6607	46.0335	37.4073666666667	35.3827	34.3438666666667	35.6646333333333	35.5856	44.0726666666667	39.6285	32.3764666666667	39.9375666666667	38.0297666666667	39.1899333333333	37.4884	38.1394666666667
sub_1215	65.3898	55.3979	56.4954	52.0242	51.6014	64.2492	54.8669	70.594	46.3767	56.2953	59.0152	61.092	53.0353	55.6568	50.2632	57.8711	59.0227	59.6376
