ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3
sub_1432	10.15124613	7.962354222	8.673132792	7.298974764	5.957937197	4.114047613	3.559713959	7.566436009	7.072118574	10.15304479	7.618836752	14.02987901	8.167484794	9.011792016	11.01249929	8.703383638	12.28579698	7.2683309
sub_1433	11.70266703	12.23045349	14.13242164	8.762896773	10.30204313	10.18738941	3.95338272	6.609017679	6.978666617	6.74844508	6.342475876	10.5346297	6.422122278	9.516611877	10.53373644	10.62062996	13.40644946	10.32851996
sub_1434	13.3762302	13.40400471	12.65293486	10.26550249	11.8699159	10.62668116	7.388845446	16.44298313	13.00885772	19.42814136	14.065612	19.01143818	18.52972244	20.56921695	18.15409974	15.52963772	15.89176554	16.2856778
sub_1435	9.319059876	9.143217232	6.303313862	13.3328113	5.265429802	13.2551646	24.22128866	23.57975718	18.84561547	30.80960699	25.13923957	21.81906801	19.30016853	13.08471691	12.11227197	7.833386004	9.154052604	9.826734909
sub_1436	32.40349562	35.58318493	18.8548859	30.5562531	25.17971805	22.11635768	21.41838653	45.55001132	34.31281432	60.27087168	43.75080199	58.12219536	53.94365096	55.53533744	51.58615792	45.79954537	40.52121302	35.88603182
sub_1437	15.33309768	14.82311551	30.38168026	20.03146269	31.06053476	11.78229932	2.830611028	10.32895547	8.715783625	4.448608725	4.377966516	5.953648951	10.52499295	14.27245433	13.33225758	19.78571391	20.53953171	12.74431295
sub_1438	5.955036451	10.0483283	9.573238512	5.391517035	4.53795915	3.159765896	1.012797442	4.461606737	3.458883074	4.923963767	3.580757865	5.430510819	4.917091518	6.682214394	7.136878283	9.56994576	10.42594641	8.14889207
sub_1439	14.05199473	24.44204658	26.81679833	9.229233789	10.66547735	8.087731138	1.762029997	5.286336382	3.182517699	5.508445724	3.312466003	5.196046422	7.162452799	8.72836585	8.97742354	17.17879261	17.81397002	14.89047674
sub_1440	2.809139113	1.769715831	2.202503045	2.141257904	2.635734069	1.10586379	0.999097589	2.644908827	3.385923591	4.602382851	3.837402735	6.383328485	12.81744726	16.29438499	17.96468472	7.738634202	4.873213293	5.047323843
sub_1441	21.35372706	19.54859246	32.0759005	12.67700276	17.2047551	8.772295293	2.676348848	6.84169495	9.464710143	7.897595849	7.173459756	13.86046468	13.30479096	17.48480539	20.79113542	26.78880717	25.2413558	18.86682394
sub_1442	11.93361108	12.35433484	9.985160742	7.58191338	8.155760683	6.788848656	12.06967107	22.63957683	27.45788742	27.11898176	21.58447196	35.12203419	27.36461652	30.66386914	31.15075002	22.09002788	21.04652714	18.74438456
sub_1443	66.71265702	72.60620807	73.45236186	41.25166472	38.20785939	46.83113867	18.92694683	27.66575477	35.55960609	54.26563595	37.76140087	63.18496755	68.42947354	78.03369716	96.86649814	105.3309294	93.25683148	112.1140893
sub_1444	0.915746294	0.569672598	0.998328896	1.622475185	3.04454415	1.373755494	3.107465148	9.818304373	6.301153382	3.863834227	2.894043021	5.316411336	5.971935608	9.644694555	11.45907981	2.856717524	3.136265704	2.26269815
sub_1445	16.11762505	16.48131258	18.11707782	12.12452528	16.07482624	10.72964024	6.294319105	14.65243501	12.34356784	12.890885	9.648850434	14.04860351	14.90117847	18.15546748	19.17199259	16.30875105	14.41338116	13.82359279
sub_1446	16.72813162	18.25304844	11.3419648	19.85537749	19.07352787	19.29393822	15.98370704	34.40742042	31.44223887	45.39651697	34.40854647	35.18634046	39.18841428	37.5622716	30.17441463	20.06818253	21.28770924	16.23334768
sub_1447	135.4285538	137.6441911	84.45533624	196.1356915	113.8598154	232.5897051	122.7433339	122.2681333	166.9126023	121.8320797	109.8367829	132.8164567	97.92635093	95.18556064	73.30190878	112.0067239	73.70192835	114.9505358
sub_1448	21.15173583	25.66379764	18.06305038	25.8253468	19.01914335	17.69144647	29.43000038	49.28998391	30.59732523	54.94954499	43.27773009	43.94978147	45.7821411	44.02804022	33.56067717	20.00846681	32.07935901	23.07237766
sub_1449	9.345211889	9.803160809	6.516861332	7.284376142	4.125190585	4.778673841	1.916870356	2.925751161	1.944642831	2.52976042	2.087074727	2.310387209	5.766523564	4.573287949	4.322891723	9.139396177	9.56842501	11.27386759
sub_1450	7.38839509	9.852908245	13.85786427	3.171440851	5.015013262	2.872955165	0.297349402	1.955964612	1.187097787	1.708480353	1.153019497	2.052691747	2.545784235	3.126827151	3.419167811	6.805872477	5.716438574	7.965861536
sub_1451	1.110475731	1.020215716	0.658200709	2.11320702	1.89671231	1.381413877	0.906174281	3.824810111	3.265834815	5.869608516	3.971917957	5.510146553	6.818100051	9.881451437	8.833384897	5.734852857	3.730853372	4.469363235
sub_1452	12.25635027	10.7134989	8.540920402	6.989748496	7.644213221	8.347637488	6.056928197	7.68354315	9.788394399	10.80723827	8.724362551	13.98452283	13.53732739	14.6815874	14.80042119	15.46392776	12.98491392	15.43781665
sub_1453	7.089630546	6.679098453	4.548469403	4.765265085	5.518801586	4.438147833	3.527430978	8.401246932	6.265874986	11.90541923	6.509932815	7.446145966	23.46953814	19.30093327	21.04733553	17.40328785	13.53592233	13.87131689
