ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_2_REP_1	TP_4_REP_1	TP_6_REP_1	TP_8_REP_1	TP_10_REP_1	TP_12_REP_1	TP_14_REP_1	TP_16_REP_1	TP_18_REP_1	TP_20_REP_1	TP_22_REP_1
sub_1	0.008402320809453053	0.05251380998638544	24.488237	22.60505935538737	3.7860391086371554	10.702172869571688	0.93718237	0.0	sub_1	12.1973526	10.37202088	9.166118732	10.57908667	8.709361865	6.662320257	8.101212014	10.10754249	12.37454049	13.67349755	15.11638438
sub_2	0.006633411165357673	0.05251380998638544	24.861546	20.575556919918554	11.537288389002953	35.9322191306619	0.94613683	0.0	sub_2	34.83283495	29.1751089	26.53166265	24.40265347	28.39363601	27.05852192	30.72529781	40.88967356	37.66675146	48.9621136	49.48356851
sub_3	1.7689096440953798e-05	0.03934055048468125	23.087944	15.800609798796408	18.918576949545933	17.283212386195764	0.9972031	0.0	sub_3	1.821471321	3.071962097	9.671829678	5.277120642	17.13582457	25.86756878	35.99694828	39.81967439	40.0848927	20.68776191	10.21030369
sub_4	0.005200594353640416	0.05251380998638544	23.698969	10.561062524878492	3.274225092351413	18.029841867483405	0.9541208	0.0	sub_4	14.28859194	17.6870389	19.01757771	20.57784486	21.43980895	26.34575846	19.1035671	18.45039018	15.07959548	15.79749887	15.96398259
sub_5	0.0015566404868039342	0.05251380998638544	23.390816	1.116829184146553	2.5576613243767694	2.927872846534438	0.97591746	0.0	sub_5	8.004650997	5.270718417	1.972765599	1.735391936	0.836659977	0.773844821	1.495952445	1.251977813	1.020929315	4.388475668	4.697622732
sub_6	0.005112148871435647	0.05251380998638544	24.592545	2.348415017544969	21.50271628447392	24.427415476463874	0.95445806	0.0	sub_6	64.88247517	44.0440548	21.68856637	24.56848627	13.2968071	10.77002534	3.215725509	6.339234846	4.662456626	28.88665507	25.69557345
sub_7	0.0011497912686619968	0.05251380998638544	21.993946	1.4001780944011124	10.06902906335288	8.767451610483707	0.98034704	0.0	sub_7	28.35884479	16.18467426	4.415912495	5.651459459	1.565895541	0.916069035	1.317873222	2.376851789	2.292929562	13.79044194	21.36642792
sub_8	0.002635675369702116	0.05251380998638544	24.028893	3.059453616894963	0.2322344995803917	0.4026325711419927	0.9684095	0.0	sub_8	0.613519532	0.642471819	0.569532703	0.435655213	0.294050803	0.335110719	0.200873436	0.037071076	0.25629552	0.33785131	0.665301947
sub_9	0.007871647916224439	0.05251380998638544	24.277561	20.8650268939253	19.106944300392243	25.720652558878694	0.9399524	0.0	sub_9	30.45738931	25.4268801	9.77106489	6.917633436	16.98217992	5.963322721	21.81397703	32.37520423	38.77849253	43.31789192	53.28763772
sub_10	0.004121559470742235	0.05251380998638544	25.254051	21.704258247811236	3.950323294144235	12.987834167790563	0.95945895	0.0	sub_10	14.84501541	11.19519715	9.948985098	9.872850081	9.147851353	10.0367422	10.20690476	12.99541177	15.38262207	15.66423916	18.937009
sub_11	0.010790348828981815	0.05338451640049872	22.533508	20.44201961824807	9.649978762577353	28.43012956059592	0.9214409	0.0	sub_11	28.73214335	27.20081343	23.01266103	12.19302721	19.46507221	12.31900727	26.73244199	30.64514894	39.2385312	35.3023684	37.18375025
sub_12	0.010454255996603693	0.052841512128287756	23.15321	22.84667617408991	0.4404814704979438	0.4318680567065007	0.92296386	0.0	sub_12	1.08420912	0.448173742	0.062904736	0.433062027	0.139190715	0	0.133118507	0.307086794	0.509539903	0.559733818	1.187023773
sub_13	0.0053421071251680465	0.05251380998638544	24.895746	9.50947457913039	0.5711168849644098	1.0326428408917399	0.9528523	0.0	sub_13	0.694219626	0.873374371	1.737204775	1.575327711	1.518980951	1.895949733	1.096948265	1.395202645	0.643060522	0.529805496	0.490965202
sub_14	0.014717328238873558	0.05783751106344365	24.346802	22.087008934935543	10.60015999611339	24.333222195144877	0.90111977	0.0	sub_14	29.70371939	27.76482422	10.93026785	11.40128041	15.25344828	9.866237246	21.15919325	21.8287279	21.79892551	33.43272002	35.1572957
sub_15	0.01379749522394396	0.05705105660693626	25.213665	21.669548865694637	16.814119157876124	27.290742893014887	0.90557206	0.0	sub_15	32.90258563	22.17459138	8.417683931	17.94037357	15.99311674	7.724489181	20.99738003	21.35312404	38.5796304	36.61950862	46.49716448
sub_16	0.0026179862732611616	0.05251380998638544	21.617533	15.138363642365281	10.71108706978352	36.36841838075104	0.9691984	0.0	sub_16	31.43397336	25.70644314	21.45145399	35.29132343	31.9349204	42.92390414	47.73192565	50.0505641	37.69074265	35.7895474	33.37839984
sub_17	0.004776056039057525	0.05251380998638544	22.804611	20.687959612774865	2.183888202611108	4.9287034297737655	0.9562601	0.0	sub_17	5.852116695	4.686925398	4.413941985	2.142700473	3.944295917	3.246431825	3.951855445	5.221215473	7.334100447	6.986557051	6.979127728
sub_18	0.0019281115120639639	0.05251380998638544	23.164948	21.7522138255966	24.217021555153558	30.51941539193571	0.9734851	0.0	sub_18	52.15724614	37.53805801	15.77364764	6.891893222	15.13991392	6.453779754	18.2374548	36.41088154	38.14749808	52.05247866	56.67207406
sub_19	0.012134720158494304	0.054617665662837135	24.830406	2.766317318767342	0.10244775065771947	0.1256781431059793	0.9146804	0.0	sub_19	0.346141087	0.19077666	0.214216129	0.122895981	0.118500203	0.05251829	0	0.069717002	0.048199721	0.07942169	0.144367756
sub_20	0.0007606311469610132	0.05251380998638544	23.185661	9.963304039663786	7.6755275007160115	15.746009616895638	0.98316836	0.0	sub_20	9.938583599	12.75801252	19.8946713	24.25147354	23.4211576	26.50122946	13.87982302	17.29512826	10.91547703	8.657216382	10.17448949
sub_21	0.01020660864643034	0.05251380998638544	23.711523	23.02021722588844	2.234226403450811	14.755424314681242	0.92493856	0.0	sub_21	16.15431283	15.47448965	15.64714395	11.10184291	13.31263461	11.49188327	13.49198135	14.42234842	14.75960937	16.03044361	17.27772044
sub_22	0.018697374938088162	0.06178780576123466	25.137129	20.80363120381155	2.432375629409217	9.355611032515672	0.8778407	0.0	sub_22	9.606687243	8.379620369	7.293050678	6.677104157	8.570431852	6.948188587	9.076175315	9.260478626	11.01917997	11.05390897	13.59913291
sub_23	0.028072596051793675	0.06781236817023603	23.358212	20.074904053756622	26.671705862340634	63.12115247747559	0.8141866	0.0	sub_23	67.09705582	63.38457207	29.15904124	32.86322129	67.19332332	26.39547835	65.08353989	77.23847053	79.89585674	96.72200372	82.55871469
sub_24	0.04263072242269865	0.08180390566702485	23.942884	20.19633058004958	37.55212926497118	168.9056767271942	0.7117729	0.0	sub_24	162.8763357	160.2174247	99.07259102	131.4189236	147.1810771	85.44867096	173.1632278	198.270653	194.0259726	200.0427773	206.4527373
sub_25	0.011055685275596123	0.053870213838634794	22.842728	19.99543161534191	16.248010521956	41.41484386583634	0.92014575	0.0	sub_25	45.23733965	37.50513225	19.9545997	20.16209872	33.93925967	19.10136348	40.96723624	51.23678978	46.15871479	58.50151724	54.4347135
sub_26	0.030602136842850066	0.07028845019929715	24.671583	20.0256825231759	47.9289872034429	135.47748871473857	0.79991555	0.0	sub_26	117.2278489	107.1985345	54.60398392	92.40584227	98.57490643	46.84854639	141.9208928	162.287216	159.7094448	167.9150491	195.8319039
sub_27	0.010825727021863723	0.05338451640049872	24.264095	17.764053255262947	9.265600064722012	25.799942219021897	0.921179	0.0	sub_27	20.33900979	16.32442272	20.76886503	17.60187596	23.67416464	24.30176371	30.88217241	38.25127975	35.04825336	26.8630565	35.41631228
sub_28	0.003980046699214604	0.05251380998638544	24.578306	7.041166063662574	24.94841295906249	48.427544518374624	0.96028984	0.0	sub_28	54.71709577	65.66792454	83.04836151	87.0333256	55.82198085	73.22325815	39.14430573	31.98753809	34.51537584	33.61541601	28.52660604
sub_29	0.03981815608858699	0.07920845419301772	25.671274	6.537136291262193	1.6448115422726173	4.1909884499752845	0.73379856	0.0	sub_29	4.921652308	6.464566702	6.746437668	5.340223466	4.771288985	6.155355819	3.614369167	3.00163383	3.573984934	2.897046548	2.302106712
sub_30	0.26310762046274677	0.3140909006490332	25.471218	4.864644322367972	0.54773989098303	0.793562928989401	0.061701454	0.0	sub_30	1.416238328	2.716362186	0.65734993	0.814584017	1.163626295	0.502816623	0.667717796	0.333739611	0.2484839	0.233967111	0.070881785
sub_31	0.031663482629307294	0.07117821091728906	25.896759	6.182395815290955	2.5641546255210876	4.531689420914068	0.79254025	0.0	sub_31	6.158468629	5.785071743	7.539295587	6.306675933	3.983606317	7.242155986	2.565797906	2.697609266	2.063432884	2.272146966	1.604524892
sub_32	0.09033821552395103	0.13157314428635697	25.05038	6.379027065310425	1.8794835812552193	3.304589607484125	0.41618448	0.0	sub_32	4.764038442	4.859275082	9.017257213	4.744853519	3.81261523	6.251959951	2.248545221	2.355222197	1.473234936	2.108127912	1.625706472
sub_33	0.00918064105285502	0.05251380998638544	24.532082	7.027923692899754	7.046465447549155	15.806476794148361	0.9330408	0.0	sub_33	16.91256155	18.15444904	23.92551314	31.35046664	17.36987072	20.41157565	14.30382011	10.99900721	11.68406897	8.751168319	10.65308645
