ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT0.75_REP1	ZT0.75_REP2	ZT0.75_REP3	ZT1.75_REP1	ZT1.75_REP2	ZT1.75_REP3	ZT3.75_REP1	ZT3.75_REP2	ZT3.75_REP3	ZT5.75_REP1	ZT5.75_REP2	ZT5.75_REP3	ZT7.75_REP1	ZT7.75_REP2	ZT7.75_REP3	ZT9.75_REP1	ZT9.75_REP2	ZT9.75_REP3	ZT10.75_REP1	ZT10.75_REP2	ZT10.75_REP3	ZT11.5_REP1	ZT11.5_REP2	ZT11.5_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT12.75_REP1	ZT12.75_REP2	ZT12.75_REP3	ZT13.75_REP1	ZT13.75_REP2	ZT13.75_REP3	ZT15.75_REP1	ZT15.75_REP2	ZT15.75_REP3	ZT17.75_REP1	ZT17.75_REP2	ZT17.75_REP3	ZT19.75_REP1	ZT19.75_REP2	ZT19.75_REP3	ZT21.75_REP1	ZT21.75_REP2	ZT21.75_REP3	ZT22.75_REP1	ZT22.75_REP2	ZT22.75_REP3	ZT23.5_REP1	ZT23.5_REP2	ZT23.5_REP3
sub_461	745.082	847.028	677.59	680.939	867.689	730.551	700.995	695.755	825.188	746.679	660.677	760.5	707.318	752.603	662.04	848.326	834.925	806.583	705.12	769.379	799.801	772.017	927.81	892.634	547.56	882.298	790.972	860.836	658.286	808.482	810.399	817.287	818.891	631.858	691.207	714.338	753.513	757.611	752.08	708.664	684.898	607.247	707.953	580.458	721.395	655.203	451.518	705.363	823.895	641.471	622.678	628.875	631.49	687.607
sub_462	148.144	155.802	163.613	171.476	180.13	155.396	147.871	185.949	187.879	182.435	163.881	179.743	179.181	203.95	175.676	218.713	220.373	181.265	208.93	188.011	210.629	201.645	263.981	237.847	211.574	196.474	162.088	194.404	163.885	189.652	174.388	226.698	211.25	187.971	188.012	180.684	159.477	203.156	162.725	168.858	173.803	119.308	151.338	131.492	161.329	116.359	112.506	154.083	200.694	122.701	155.763	129.005	136.47	163.566
sub_463	1858.56	2224.23	1511.68	2345.72	2660.62	1939.74	2601.74	2920.27	3327.36	3805.95	3705.72	2989.95	3146.78	2807.77	2316.27	3996.38	3205.27	2664.21	3443.1	3615.71	3228.37	2748.95	3478.2	3300.91	1741.08	2601.37	2638.86	2581.45	1794.03	2908.1	1921.16	2158.32	1742.24	1228.46	1527.96	1732.63	1190.06	1277.59	1131.93	1397.29	1368.88	1026.62	1518.77	1175.66	1317.01	1500.73	960.359	1565.55	2442.31	1573.51	1786.97	1787.06	1952.28	1886.07
sub_464	725.537	783.917	570.641	717.549	833.383	711.999	778.448	905.009	932.824	907.159	869.378	904.11	760.018	690.3	777.976	875.293	739.263	728.164	739.15	678.23	697.083	642.838	913.833	788.844	451.791	684.442	591.911	659.856	487.111	616.518	499.527	632.888	552.117	436.309	495.918	458.664	473.756	547.241	414.018	536.447	564.401	429.237	506.11	427.172	483.342	523.374	473.246	566.83	756.509	575.559	619.044	601.525	637.965	714.347
sub_465	721.936	713.625	725.052	653.573	765.425	760.14	688.472	666.281	941.129	844.007	756.964	824.442	635.83	737.716	870.362	895.581	1040.68	710.679	891.714	787.782	819.552	840.82	1085.5	966.758	635.847	718.108	776.674	787.868	606.963	737.063	696.091	867.995	786.074	595.603	752.117	663.591	569.308	601.958	635.766	687.218	713.949	542.983	591.447	600.218	593.33	686.143	494.377	756.154	715.096	477.083	642.537	624.1	579.175	708.483
sub_466	200.411	273.297	76.2547	213.114	242.007	107.195	169.24	187.599	196.764	231.378	165.768	205.019	150.758	145.791	140.782	216.042	165.363	157.684	187.201	161.925	205.79	196.856	313.553	181.027	209.174	223.743	242.861	317.417	214.291	275.956	169.09	262.861	306.46	281.87	294.771	296.504	333.887	285.781	341.131	262.437	255.389	282.191	228.685	261.674	275.126	205.4	184.32	249.669	242.285	263.162	256.372	235.853	186.834	290.623
sub_467	5118.38	6236.14	5270.45	5927.01	5337.04	4963.58	5199.71	4627.39	6170.03	6059.57	5664.74	5909.2	4397.17	4081.52	5359.89	6570.86	6092.59	5581.54	6158.8	5863.21	6740.72	6390.57	8650.4	7377.91	5667.67	5806.37	7318.18	7670.54	6195.98	7118.2	5673	8390.03	8206.68	6650.33	7907.56	8037.38	7383.42	6517.97	7288.91	7091.41	7566.39	6645.1	6767.72	6090.4	6947.55	6483.78	4972.14	7485.58	6080.2	5017.2	5372.74	4640.76	4424.89	5443.87
sub_468	1637.41	1901.62	1404.42	1822.65	2099.61	1811.56	2065.45	2256.6	2483.77	2309.87	2360.6	2240.04	1995.22	1941.54	2012.25	2464.96	2148.62	1899.56	2047	1891.82	1971.49	1707.36	2348.3	1936.76	1230.96	1743.67	1601.67	1763.74	1308.87	1635.73	1287.11	1609.45	1265.76	1045.45	1292.17	1192.22	1028.47	1133.92	1139.82	1427	1388.08	991.517	1282.97	1157.02	1270.45	1293.43	1153.48	1483.85	1873.88	1261.67	1532.82	1439.71	1446.71	1719.32
sub_469	363.433	349.032	435.742	388.867	417.889	427.702	461.18	519.997	427.068	418.408	407.105	410.591	382.815	393.544	389.338	439.673	417.764	451.315	356.43	293.671	350.921	323.902	421.603	376.806	209.339	295.854	276.074	352.116	238.288	311.47	234.933	348.382	274.969	229.25	295.494	213.092	222.956	241.342	248.989	259.223	251.634	221.894	245.68	230.019	268.228	269.693	278.704	307.176	390.069	251.438	273.015	305.17	318.762	289.161
sub_470	1308.32	1297.7	1141.71	1300.68	1577.19	1173.45	1165.04	1336.97	1526.93	1436.55	1288.36	1271.93	1206.76	1312.82	1247.32	1259.08	1311.28	989.361	1109	1054.3	1021.55	901.493	1335.99	1181.81	606.712	945.929	881.116	993.958	708.636	924.138	726.343	977.579	916.604	684.245	865.712	674.422	707.331	942	744.28	788.498	867.543	784.866	895.197	750.056	874.249	1144.97	800.414	1122.39	1395.99	1068.57	1143.33	1154.39	1111.7	1341.62
