ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_4_REP_1	TP_8_REP_1	TP_12_REP_1	TP_16_REP_1	TP_20_REP_1	TP_24_REP_1	TP_28_REP_1	TP_32_REP_1	TP_36_REP_1	TP_40_REP_1	TP_44_REP_1	TP_48_REP_1
sub_956	0.6464657185310975	0.7828759160193107	24.959927	17.081731503259352	3.753408556586674	269.24208256206794	0.0027975477	0.0	233.072	291.931	273.957	276.603	281.064	290.167	263.588	265.775	264.62	222.955	284.37	258.777	267.389
sub_957	0.6270784688318121	0.7656511693821986	24.956116	1.985944588817055	93.59555117099703	1913.5881262912799	0.00314894	0.0	1847.34	2041.83	1711.4	2112.63	1806	2403.43	1982.66	2072.43	1999.46	1906.45	1730.61	1718.82	1725.39
sub_958	0.8062513266822331	0.8971563761606303	25.056602	14.35637570928007	21.16337493878837	1259.0084345943935	0.00104574	0.0	1240.03	1276.44	1134.81	1302.74	1198.6	1069.82	1303.58	1236.53	1123.85	1364.28	1296.32	1310.21	1235.62
sub_959	0.9794098917427297	0.9943478494034951	22.785376	20.307868874520928	38.516696367657346	527.7286558319046	0.00016696882	0.0	372.402	514.816	490.432	416.873	545.641	441.713	581.343	503.717	599.594	471.85	646.402	655.474	560.222
sub_960	0.9750406849218142	0.9909941898724116	25.81412	1.6433778777456922	1.6887079089982098	15.926611608100794	0.00018838656	0.0	19.9245	14.5984	18.3838	18.274	12.6542	24.3107	17.0518	18.9583	12.7654	18.9998	11.1026	11.7049	12.6639
sub_961	0.5970600721715135	0.7443865834865622	23.68174	7.538131902641347	8.88719414456915	176.54863715034037	0.003809453	0.0	180.051	168.024	193.376	189.652	171	212.976	180.399	163.123	189.478	166.105	145.859	149.604	163.901
sub_962	0.9559541498620251	0.9825442139739118	23.553152	10.496081622934806	368.0928026199366	21289.039370130424	0.00027858606	0.0	22443.9	20511.6	21578.5	22045.2	20849.1	21309	20070.5	20648.8	21087.1	21983.2	19739.7	21334.4	21402.6
sub_963	0.6855763107620463	0.8179636248288789	21.64558	2.4115007696669486	162.92089833704568	3355.3969337518115	0.0021939655	0.0	2620.39	3716.44	3183.35	3203.87	3646.89	3145.31	3697.76	3422.76	3162.45	3031.08	3563.87	3501.28	3117.33
sub_964	0.7488148305384561	0.8604444625120888	22.810766	17.78918637824283	40.91854491000371	1038.3400844991409	0.0015003134	0.0	1494.26	1005.93	903.21	1652.97	1042.22	884.915	1003.34	962.038	1148.76	1220.91	1029.19	1466.63	1466.39
sub_965	0.7146394962145334	0.8375796981160347	24.363724	24.041163819833205	555.0193055334709	1690.7519680578273	0.001848895	0.0	2122.34	1653.82	1697.2	2240.57	1348.47	1223.9	2245.74	1536.28	1559.94	2250.94	1632.3	2201.16	2133.2
sub_966	0.7100226420434445	0.8340199221333452	22.729483	9.043773794473568	179.95710009266213	7040.690600051427	0.0018982809	0.0	8126.9925	6433.5365	6962.045	8110.4885	6756.5925	6134.0785	6942.3725	7143.3735	7206.346	7605.1305	6863.059	7742.1155	7883.272
