ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT3_REP1	ZT3_REP2	ZT3_REP3	ZT6_REP1	ZT6_REP2	ZT6_REP3	ZT9_REP1	ZT9_REP2	ZT9_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT15_REP1	ZT15_REP2	ZT15_REP3	ZT18_REP1	ZT18_REP2	ZT18_REP3	ZT21_REP1	ZT21_REP2	ZT21_REP3
sub_1	9.66554987387642	9.77874947803383	9.7809838231085	9.68989819668122	9.55720850785558	9.66784517072694	9.57367944740483	9.647244436178	9.56197477444484	9.59649693035279	9.66301521739008	9.5299786433155	9.50528836990958	9.46635443000206	9.5442223098171	9.58288640961144	9.60263613980449	9.54306022798191	9.76696662678008	9.4643000737623	9.65056777481228	9.85235548775246	10.1374842284849	10.0319355725597
sub_2	8.85786901925574	8.55806040419889	8.55712334412962	8.57057798912394	8.94273509547576	8.86604759630914	8.43914098593469	8.56586892526794	8.64915044817428	8.30066438279327	8.28355529366904	8.3177734719175	8.25674066674653	8.23555595917368	8.27792537431938	8.115661509261	8.14125200810842	8.20204163847322	8.41493786940041	8.34955878593135	8.51760823540188	8.55116332842052	8.32765822194086	8.60765031423958
sub_3	0.448794297867085	0.384494218255563	0.293869588840544	0.885609825353714	0.967364368209972	1.02417183762365	0.197573429235789	0.31231340927691	0.378945537381067	0.133478155229588	0.145558194792146	0.12139811566703	0.232961766230561	0.231383422429608	0.234540110031514	0.189369329952177	0.0618028083044906	-0.0594176878417917	-0.0546769021985776	-0.0453178550264055	0.187487690886058	0.436095252852888	0.121553809226457	0.449438824597999
sub_4	6.37495404550798	6.25086421935912	6.77006747719052	6.54650496194933	6.36361159148781	6.28488685062318	7.00053985185437	6.54251592932798	6.76324819199536	6.97064955015359	6.85245722659875	7.08884187370843	7.1345507307113	7.10989123929619	7.1592102221264	7.04467054846677	7.16321782705951	7.21982993184232	6.80727434030169	6.78230140346398	6.80685184072161	6.74384196533292	6.67458949339902	6.40611079946632
sub_5	11.5136802406256	11.2974951648809	11.2481843840193	11.3109124744358	11.3904618070364	11.5003523053853	11.2526782039658	11.3731875773157	11.2813690026639	11.198015831114	11.2416660699321	11.1543655922959	11.1919197537244	11.2176648413001	11.1661746661487	11.3298370199867	11.1331715103972	11.1826516556209	11.2790053523794	11.2953718632776	11.2803113707811	11.2964818579065	11.0967848777638	11.4756526382729
sub_6	6.54725721394391	6.47470831794282	6.55537496117153	6.6114533851024	6.65367720108116	6.90536101219169	6.19567633162184	6.39073859366441	6.43374400495808	6.22951499972846	5.99888936639328	6.46014063306363	6.25730757712232	6.38027244773178	6.13434270651287	6.10650227094839	6.36298016094146	6.35857449156823	6.60461262621961	6.52084027554111	6.65787463673831	6.75124050088547	6.83856036630986	6.87568275146215
sub_7	3.75246216234169	3.97911226920528	3.98909331548449	3.98990995182009	4.02928619475025	3.98699030497215	3.95996870633268	4.17715075519731	3.9245206236121	3.92767371388056	3.88544182842995	3.96990559933116	4.34773040860348	4.33495069028925	4.36051012691771	5.10768173211514	4.77193705349772	4.81599306794683	4.24161073574383	4.49458822080559	4.21261408952772	4.19502809584847	4.34350192034618	4.53715930092362
sub_8	1.67482968799073	2.21389273827604	2.41861724610705	1.74474803251365	2.1564920911692	1.67625667758492	1.2575467202218	1.39687713938308	1.16318056270498	1.32898765405011	1.51240500410092	1.14557030399929	1.31639884705428	1.24682325287226	1.38597444123629	2.10810579527594	1.62938054914122	1.35034229977549	1.99726873109578	1.8475639334582	1.60412944686256	1.84776465407337	1.25869357511376	2.27254886916771
sub_9	6.18564777294852	6.37809134397382	6.16888124212578	5.84916346661747	6.22456224212324	6.03528456325941	5.72101957799266	5.93117852694571	6.03122082796315	6.03956635829514	5.97109158367291	6.10804113291737	6.12266793709018	5.99409450548252	6.25124136869785	6.03139828782528	5.99967188357451	6.05565010886831	6.2958728281268	6.19993511157866	6.14562346057356	6.32460029987416	6.59169906745001	6.18497551447443
sub_10	7.92749882749642	7.88032177247627	7.91649625634982	7.77190367420437	7.81185817506519	7.70895918743104	7.921284531468	7.86042820347026	7.91924890227333	7.98076521812217	7.97725934216819	7.98427109407616	7.97719153701494	7.92845939843307	8.02592367559682	8.00128594819456	8.24298404603714	7.96306211660789	8.14731757813859	7.81875035772902	8.04457570343635	8.04706969275843	8.00131983956697	7.88739400357692
