ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_0_REP_2	TP_0_REP_3	TP_4_REP_1	TP_4_REP_2	TP_4_REP_3	TP_8_REP_1	TP_8_REP_2	TP_8_REP_3	TP_12_REP_1	TP_12_REP_2	TP_12_REP_3	TP_16_REP_1	TP_16_REP_2	TP_16_REP_3	TP_20_REP_1	TP_20_REP_2	TP_20_REP_3
sub_1195	0.8911290534346087	0.9552390572788251	24.089806	22.62066867508337	0.48226504743412374	59.588584424190856	0.018808175	1.7057461543792305	71.1729	54.5265	43.2993	66.9316	65.5418	57.7079	54.6075	65.8768	50.8173	56.3341	64.2353	63.18	45.1816	59.7311	62.5193	67.9467	57.6852	72.1095
sub_1196	0.8192023852491805	0.9071431863081347	23.995472	11.075094122735479	0.499929897949651	33.27779759077241	0.026333794	1.415865869187624	32.5233	32.691	23.5115	30.5838	30.7316	40.3639	38.9917	29.7626	29.8554	32.748	31.8998	38.9046	31.4981	31.6643	26.2339	33.387	36.7752	39.7135
sub_1197	0.40056010822307603	0.474934664126565	22.73281	16.28117520003492	1.4939297945444214	116.28211681977638	0.12885752	1.2117550893480578	104.337	138.704	131.959	115.994	109.371	120.724	106.66	107.565	118.197	134.07	99.029	115.859	141.767	127.182	111.464	93.6864	113.757	100.208
sub_1198	0.3363269550729593	0.4009017304469675	24.055134	6.89128821742175	0.9738289018209193	39.68575547945194	0.16669567	1.2158305506358684	41.2907	43.9673	33.1355	40.8899	32.8539	38.1164	41.8024	41.2403	38.8144	32.1542	50.1667	48.5404	35.9371	35.5245	24.8768	46.8336	35.6428	43.4964
sub_1199	0.9238864514157583	0.9763055408577872	24.90222	4.755973644874157	3.812406979157926	42.095217684774	0.015501298	2.500827859756509	27.5591	66.5977	44.6299	57.2952	31.016	46.6054	45.4083	42.5458	48.724	37.414	39.0741	44.3134	63.6094	40.021	40.2374	49.194	30.0531	35.7267
sub_1200	0.9710259612478797	0.9955243226555096	24.337475	16.655746507955165	0.7853991090016632	55.59312649826476	0.010315712	1.625344433893728	62.6428	37.3059	37.9645	51.3337	48.2294	74.0273	38.8053	58.7167	67.8056	56.1695	43.1647	36.5977	52.3588	66.097	73.265	41.4458	70.4017	56.4631
sub_1201	0.8361965641659312	0.9191308135627162	24.247438	15.822308702661616	2.410353588040742	25.890643318486028	0.024583776	1.8886481660989731	20.6078	21.5527	23.0837	30.4921	17.5748	32.6042	16.404	27.968	32.8299	18.4063	35.2584	25.2566	29.2688	22.894	23.4999	33.5139	25.5955	30.9118
sub_1202	0.8567347312758531	0.9359286979171257	24.060787	3.446453895938872	1.5451178831065902	24.82125141583901	0.02234843	1.1807016510428245	25.9249	23.5116	26.376	22.7581	29.7475	28.0778	20.8017	26.1286	26.1066	30.7715	23.0715	32.4657	22.6804	25.3359	18.7018	30.7221	27.7854	25.3819
sub_1203	0.754567518263551	0.8474665343311741	24.598913	17.22616996898356	2.0539939358824983	174.20918226531887	0.034264892	1.0096969084477512	165.911	154.843	144.595	178.333	165.071	174.796	173.285	187.988	155.433	147.354	174.381	222.39	138.368	176.249	158.488	200.934	176.935	230.216
sub_1204	0.9467759535291603	0.9880362285467735	24.415182	18.651825215403953	0.7489119366513171	53.49261193516308	0.013211826	1.1555734295302416	57.2941	47.7969	41.3561	53.0039	59.3762	61.8427	55.6886	52.4161	44.992	52.0716	58.0454	55.3571	47.6227	59.649	49.6376	55.63	58.1995	63.5365
